ID	2006 list	2008 list	2010 list	2012 list	2018 list	Book Title	Author	List	Original/Alt Title	Wilson score	nationality	Period	List Notes	Work Wikidata ID	Author Wikidata ID	GND Arealabel	GND Areacode	P495	P19	Geonames ID	Latitude	Longitude
1239	2006	NaN	NaN	NaN	NaN	Unless	Shields, Carol	2) Deleted 2008	NaN	947	Canadian	2000s	NaN	Q3602937	Q259956	NaN	NaN	Canada	NaN	6251999	60.10867	-113.64258
1240	2006	2008	NaN	NaN	NaN	Islands	Sleigh, Dan	4) Deleted 2010	NaN	1227	S. African	2000s	NaN	NaN	Q1253072	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1241	NaN	2008	2010	2012	2018	The Namesake	Lahiri, Jhumpa	3) Added 2008	NaN	249	Indian	2000s	NaN	Q7753070	Q465208	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
1242	NaN	2008	2010	2012	2018	Vernon God Little	Pierre, D.B.C.	3) Added 2008	NaN	969	NaN	2000s	NaN	Q475459	Q336565	NaN	NaN	United Kingdom	NaN	2635167	54.75844	-2.69531
1243	NaN	2008	2010	2012	NaN	The Successor	Kadare, Ismail	3) Added 2008	NaN	1176	NaN	2000s	NaN	Q11789877	Q179695	NaN	NaN	Albania	NaN	783754	41.0	20.0
1244	NaN	2008	2010	2012	2018	Lady Number Thirteen	Somoza, Jose Carlos	3) Added 2008	La dama número trece  	1016	NaN	2000s	NaN	Q5966432	Q469960	NaN	NaN	Spain	NaN	2510769	40.0	-4.0
1245	2006	2008	2010	2012	2018	What I Loved	Hustvedt, Siri	1) core list	NaN	227	American	2000s	NaN	Q3927652	Q259543	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
1246	2006	NaN	NaN	NaN	NaN	The Light of Day	Swift, Graham	2) Deleted 2008	NaN	1190	English	2000s	NaN	Q21592514	Q437718	NaN	NaN	United Kingdom	NaN	2635167	54.75844	-2.69531
1247	2006	NaN	NaN	NaN	NaN	Thursbitch	Garner, Alan	2) Deleted 2008	NaN	1045	English	2000s	NaN	Q7799388	Q384481	NaN	NaN	United Kingdom	NaN	2635167	54.75844	-2.69531
1248	2006	NaN	NaN	NaN	NaN	The Colour	Tremain, Rose	2) Deleted 2008	NaN	688	English	2000s	NaN	Q7726868	Q435262	NaN	NaN	NaN	London	NaN	NaN	NaN
1249	2006	NaN	NaN	NaN	NaN	Drop City	Boyle, T. Coraghessan	2) Deleted 2008	NaN	654	American	2000s	NaN	Q1260252	Q786526	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
1250	2006	2008	NaN	NaN	NaN	The Curious Incident of the Dog in the Night Time	Haddon, Mark	4) Deleted 2010	NaN	402	English	2000s	NaN	Q876848	Q356357	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
1251	NaN	2008	2010	2012	2018	A Tale of Love and Darkness	Oz, Amos	3) Added 2008	NaN	107	NaN	2000s	NaN	Q1124669	Q151872	NaN	NaN	Israel	NaN	294640	31.5	34.75
1252	NaN	2008	2010	2012	NaN	Your Face Tomorrow	Marias, Javier	3) Added 2008	NaN	408	NaN	2000s	NaN	Q2917884	Q299161	NaN	NaN	Spain	NaN	2510769	40.0	-4.0
1253	2006	2008	2010	2012	2018	Cloud Atlas	Mitchell, David	1) core list	NaN	296	English	2000s	NaN	Q40205	Q40479	Great Britain	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-GB	NaN	NaN	2635167	54.75844	-2.69531
1254	2006	NaN	NaN	NaN	NaN	Dining on Stones	Sinclair, Iain	2) Deleted 2008	NaN	1295	Wales	2000s	NaN	NaN	Q5980623	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1255	2006	NaN	NaN	NaN	NaN	The Lambs of London	Ackroyd, Peter	2) Deleted 2008	NaN	1254	English	2000s	NaN	Q125913534	Q319169	NaN	NaN	NaN	London	NaN	NaN	NaN
1256	2006	NaN	NaN	NaN	NaN	Vanishing Point	Markson, David	2) Deleted 2008	NaN	549	American	2000s	NaN	Q19898139	Q515363	NaN	NaN	NaN	Albany	NaN	NaN	NaN
1257	NaN	2008	2010	2012	2018	The Swarm	Schatzing, Frank	3) Added 2008	NaN	496	NaN	2000s	NaN	Q1196780	Q61220	NaN	NaN	Germany	NaN	2921044	51.5	10.5
1258	NaN	2008	2010	2012	2018	Suite Française	Nemirovsky, Irene	3) Added 2008	NaN	587	NaN	2000s	NaN	Q568300	Q168441	France	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XA-FR	NaN	NaN	3017382	46.0	2.0
1259	2006	2008	2010	2012	2018	The Master	Tóibín, Colm	1) core list	NaN	615	Irish	2000s	NaN	Q370841	Q470758	NaN	NaN	Republic of Ireland	NaN	2963597	53.0	-8.0
1260	2006	2008	NaN	NaN	NaN	The Plot Against America	Roth, Philip	4) Deleted 2010	NaN	731	American	2000s	NaN	Q1758811	Q187019	United States	https://d-nb.info/standards/vocab/gnd/geographic-area-code#XD-US	NaN	NaN	6252001	39.76	-98.5
